l 3
s X-MEN, Welcome... To die!
a 5 300 0 10 30
a 5 100 -150 10 15
a 5 500 -150 10 15
a 5 100 -300 10 15
a 5 500 -300 10 15
a 4 300 -400 50 20
k
w 100
s Try to last for 10 seconds!
a 6 300 0 500 20
w 1000
c
s You did it! You're the hero!
w 300
s Or are you?
a 8 400 0 10 20
a 8 200 0 10 20
k
s Hmmmmm....
w 100
a 5 600 0 10 20
a 5 0 0 10 20
a 5 600 -150 10 20
a 5 0 -150 10 20
a 5 300 -300 10 20
w 300
a 5 600 0 10 20
a 5 0 0 10 20
a 5 600 -150 10 20
a 5 0 -150 10 20
a 5 300 -300 10 20
w 200
a 5 600 0 10 20
a 5 0 0 10 20
a 5 600 -150 10 20
a 5 0 -150 10 20
a 5 300 -300 10 20
k
L level2.dat
